depth	min	max	median	mean
0	3763	4176	3986	3982
0.5	3766	4178	3989	3985
1	3769	4181	3992	3987
1.5	3772	4182	3995	3990
2	3775	4184	3997	3992
2.5	3779	4186	3999	3995
3	3782	4188	4002	3997
3.5	3784	4190	4005	4000
4	3786	4192	4007	4003
4.5	3789	4195	4010	4005
5	3792	4196	4013	4008
5.5	3795	4198	4015	4010
6	3798	4200	4017	4013
6.5	3801	4203	4019	4015
7	3805	4205	4022	4018
7.5	3807	4207	4024	4020
8	3810	4210	4027	4023
8.5	3814	4213	4030	4025
9	3816	4215	4032	4028
9.5	3819	4218	4035	4030
10	3822	4220	4038	4033
10.5	3826	4223	4040	4035
11	3830	4225	4043	4038
11.5	3833	4226	4045	4041
12	3837	4229	4047	4043
12.5	3840	4231	4049	4046
13	3844	4233	4052	4048
13.5	3847	4235	4055	4051
14	3850	4238	4057	4053
14.5	3852	4241	4060	4056
15	3854	4244	4062	4058
15.5	3857	4246	4065	4061
16	3860	4248	4068	4063
16.5	3862	4249	4070	4066
17	3865	4251	4072	4069
17.5	3868	4254	4075	4071
18	3871	4256	4077	4074
18.5	3874	4258	4080	4076
19	3875	4259	4083	4079
19.5	3878	4262	4085	4081
20	3881	4265	4088	4084
20.5	3884	4267	4090	4086
21	3888	4268	4092	4089
21.5	3891	4270	4095	4091
22	3895	4272	4098	4094
22.5	3898	4274	4100	4097
23	3901	4276	4103	4099
23.5	3904	4278	4106	4102
24	3907	4281	4108	4104
24.5	3911	4284	4111	4107
25	3915	4286	4113	4109
25.5	3919	4288	4116	4112
26	3921	4290	4118	4114
26.5	3924	4291	4121	4117
27	3927	4294	4123	4119
27.5	3930	4296	4126	4122
28	3934	4299	4128	4124
28.5	3936	4301	4131	4127
29	3939	4304	4133	4129
29.5	3941	4306	4136	4132
30	3944	4308	4139	4134
30.5	3948	4310	4141	4137
31	3951	4311	4143	4140
31.5	3955	4314	4146	4142
32	3957	4315	4148	4145
32.5	3960	4317	4150	4147
33	3963	4319	4153	4150
33.5	3965	4321	4155	4152
34	3968	4324	4158	4155
34.5	3970	4326	4160	4157
35	3973	4329	4162	4160
35.5	3978	4330	4165	4162
36	3981	4333	4168	4165
36.5	3985	4335	4170	4168
37	3989	4337	4173	4170
37.5	3992	4339	4175	4173
38	3996	4342	4178	4175
38.5	3998	4344	4181	4178
39	4001	4347	4183	4180
39.5	4003	4349	4186	4183
40	4006	4351	4188	4186
40.5	4009	4352	4191	4188
41	4012	4354	4193	4191
41.5	4015	4356	4196	4193
42	4018	4357	4198	4195
42.5	4022	4359	4200	4198
43	4024	4362	4203	4200
43.5	4027	4364	4205	4203
44	4030	4366	4208	4205
44.5	4032	4368	4210	4208
45	4034	4370	4213	4210
45.5	4038	4371	4215	4213
46	4042	4373	4217	4215
46.5	4045	4374	4220	4218
47	4047	4376	4222	4220
47.5	4049	4378	4225	4223
48	4053	4380	4227	4225
48.5	4055	4382	4230	4227
49	4058	4384	4232	4230
49.5	4060	4387	4235	4232
50	4062	4390	4238	4235
50.5	4066	4392	4240	4237
51	4068	4394	4242	4240
51.5	4073	4396	4245	4242
52	4076	4399	4247	4245
52.5	4079	4402	4249	4247
53	4082	4404	4252	4249
53.5	4085	4406	4254	4252
54	4087	4409	4257	4254
54.5	4089	4412	4259	4257
55	4091	4415	4261	4259
55.5	4095	4416	4264	4262
56	4099	4419	4266	4264
56.5	4102	4421	4269	4267
57	4106	4423	4271	4269
57.5	4107	4425	4274	4272
58	4110	4428	4276	4274
58.5	4114	4430	4278	4277
59	4116	4433	4281	4279
59.5	4118	4435	4284	4282
60	4120	4437	4286	4284
60.5	4124	4439	4288	4287
61	4127	4441	4291	4289
61.5	4129	4443	4294	4292
62	4131	4445	4296	4294
62.5	4135	4447	4299	4297
63	4137	4450	4301	4299
63.5	4139	4453	4304	4302
64	4142	4456	4306	4304
64.5	4145	4458	4309	4307
65	4148	4460	4311	4309
65.5	4151	4462	4314	4311
66	4155	4463	4316	4314
66.5	4158	4465	4319	4316
67	4162	4468	4321	4319
67.5	4165	4470	4324	4321
68	4168	4471	4326	4324
68.5	4170	4473	4329	4326
69	4172	4475	4331	4329
69.5	4175	4478	4333	4331
70	4178	4481	4336	4334
70.5	4181	4482	4338	4336
71	4183	4483	4341	4339
71.5	4186	4486	4343	4341
72	4189	4488	4346	4344
72.5	4192	4490	4348	4346
73	4196	4492	4351	4349
73.5	4198	4493	4353	4351
74	4200	4495	4356	4354
74.5	4202	4497	4359	4356
75	4204	4502	4361	4359
75.5	4207	4503	4364	4361
76	4210	4506	4366	4364
76.5	4213	4508	4369	4366
77	4215	4510	4371	4369
77.5	4218	4512	4373	4371
78	4221	4514	4376	4374
78.5	4223	4517	4378	4376
79	4225	4518	4381	4379
79.5	4227	4521	4383	4381
80	4229	4524	4385	4384
80.5	4232	4527	4388	4386
