depth	min	max	median	mean
0	7163	7409	7291	7290
0.5	7166	7410	7293	7293
1	7169	7412	7296	7295
1.5	7172	7414	7299	7298
2	7174	7416	7301	7300
2.5	7177	7418	7303	7303
3	7180	7420	7306	7305
3.5	7183	7422	7308	7308
4	7185	7424	7311	7310
4.5	7188	7426	7313	7313
5	7191	7429	7316	7315
5.5	7194	7431	7318	7318
6	7197	7433	7321	7320
6.5	7199	7436	7323	7322
7	7201	7439	7326	7325
7.5	7204	7442	7328	7327
8	7206	7445	7330	7330
8.5	7208	7448	7333	7332
9	7210	7451	7335	7334
9.5	7212	7453	7337	7337
10	7213	7457	7340	7339
10.5	7216	7459	7342	7342
11	7219	7462	7344	7344
11.5	7222	7465	7346	7346
12	7225	7467	7349	7349
12.5	7227	7470	7351	7351
13	7229	7472	7354	7353
13.5	7231	7474	7356	7356
14	7234	7478	7358	7358
14.5	7236	7481	7360	7361
15	7238	7484	7362	7363
15.5	7241	7487	7365	7365
16	7244	7490	7367	7368
16.5	7246	7491	7369	7370
17	7248	7494	7372	7373
17.5	7251	7496	7374	7375
18	7252	7500	7377	7377
18.5	7254	7503	7379	7380
19	7256	7505	7381	7382
19.5	7258	7508	7384	7385
20	7260	7511	7386	7387
20.5	7262	7514	7388	7389
21	7265	7516	7391	7392
21.5	7267	7519	7393	7394
22	7270	7522	7395	7397
22.5	7272	7525	7398	7399
23	7276	7528	7400	7401
23.5	7278	7531	7402	7404
24	7280	7534	7405	7406
24.5	7282	7538	7407	7409
25	7284	7541	7409	7411
25.5	7286	7544	7412	7414
26	7290	7546	7415	7416
26.5	7293	7548	7417	7419
27	7295	7551	7420	7421
27.5	7297	7554	7422	7424
28	7299	7557	7425	7426
28.5	7301	7561	7427	7429
29	7304	7564	7430	7432
29.5	7306	7568	7432	7434
30	7309	7572	7435	7437
30.5	7310	7575	7438	7439
31	7312	7577	7441	7442
31.5	7314	7579	7443	7444
32	7317	7581	7446	7447
32.5	7319	7584	7448	7449
33	7321	7587	7451	7452
33.5	7322	7590	7453	7454
34	7324	7594	7456	7457
34.5	7326	7596	7458	7459
35	7328	7600	7461	7462
35.5	7331	7602	7464	7464
36	7333	7604	7466	7467
36.5	7335	7608	7469	7469
37	7337	7611	7471	7472
37.5	7339	7613	7474	7475
38	7342	7615	7476	7477
38.5	7345	7617	7479	7480
39	7347	7621	7481	7482
39.5	7348	7624	7484	7485
40	7350	7629	7487	7487
40.5	7353	7631	7489	7490
41	7355	7634	7492	7492
41.5	7358	7636	7494	7495
42	7360	7639	7496	7497
42.5	7363	7642	7499	7500
43	7365	7644	7501	7502
43.5	7367	7648	7504	7505
44	7369	7651	7506	7508
44.5	7371	7654	7509	7510
45	7373	7657	7511	7513
45.5	7376	7660	7514	7515
46	7378	7662	7517	7518
46.5	7380	7665	7520	7521
47	7383	7667	7522	7523
47.5	7386	7670	7525	7526
48	7388	7673	7527	7528
48.5	7390	7677	7530	7531
49	7392	7680	7533	7534
49.5	7394	7683	7535	7536
50	7396	7686	7538	7539
50.5	7399	7689	7541	7542
51	7402	7692	7543	7544
51.5	7403	7694	7546	7547
52	7405	7697	7549	7549
52.5	7408	7700	7551	7552
53	7410	7703	7554	7554
53.5	7412	7705	7556	7557
54	7414	7708	7559	7560
54.5	7416	7711	7561	7562
55	7418	7715	7564	7565
55.5	7421	7717	7567	7567
56	7423	7720	7569	7570
56.5	7426	7722	7572	7572
57	7429	7726	7575	7575
57.5	7431	7728	7577	7578
58	7432	7731	7579	7580
58.5	7434	7735	7582	7583
59	7436	7738	7585	7585
59.5	7438	7742	7587	7588
60	7440	7745	7590	7590
60.5	7443	7747	7592	7593
61	7446	7750	7596	7595
61.5	7448	7752	7598	7598
62	7451	7754	7600	7601
62.5	7452	7756	7603	7603
63	7455	7759	7606	7606
63.5	7457	7762	7608	7608
64	7460	7765	7611	7611
64.5	7462	7767	7613	7613
65	7464	7770	7616	7616
65.5	7467	7772	7619	7618
66	7469	7775	7621	7621
66.5	7472	7777	7623	7623
67	7475	7779	7626	7626
67.5	7477	7783	7628	7628
68	7480	7786	7631	7631
68.5	7481	7789	7633	7633
69	7484	7792	7636	7636
69.5	7486	7795	7638	7638
70	7488	7799	7641	7641
70.5	7492	7801	7643	7643
71	7494	7803	7646	7646
71.5	7497	7806	7648	7649
72	7500	7809	7651	7651
72.5	7503	7812	7653	7654
73	7504	7814	7656	7656
73.5	7506	7816	7659	7659
74	7508	7818	7661	7661
74.5	7510	7822	7663	7664
75	7511	7825	7666	7666
75.5	7514	7827	7669	7669
76	7517	7830	7671	7671
76.5	7520	7833	7674	7674
77	7523	7835	7676	7676
77.5	7525	7838	7679	7679
78	7527	7840	7682	7682
78.5	7530	7843	7684	7684
79	7532	7846	7687	7687
79.5	7534	7850	7689	7689
80	7536	7853	7692	7692
80.5	7540	7855	7694	7694
81	7542	7858	7697	7697
81.5	7545	7860	7700	7699
82	7547	7863	7702	7702
82.5	7548	7866	7705	7704
83	7551	7869	7707	7707
83.5	7553	7871	7709	7710
84	7555	7874	7712	7712
84.5	7556	7877	7714	7715
85	7558	7881	7716	7717
85.5	7561	7883	7719	7720
86	7565	7886	7722	7722
