depth	min	max	median	mean
6	6947	7242	7103	7101
6.5	6950	7244	7105	7103
7	6953	7246	7108	7106
7.5	6957	7248	7110	7108
8	6961	7250	7113	7111
8.5	6963	7252	7115	7113
9	6965	7255	7118	7116
9.5	6968	7257	7120	7118
10	6971	7260	7123	7121
10.5	6973	7262	7126	7123
11	6976	7266	7128	7126
11.5	6979	7267	7131	7128
12	6983	7268	7133	7131
12.5	6986	7271	7136	7133
13	6988	7273	7138	7136
13.5	6992	7276	7141	7138
14	6994	7278	7143	7141
14.5	6997	7281	7145	7143
15	6999	7284	7148	7146
15.5	7002	7286	7150	7148
16	7004	7289	7153	7151
16.5	7008	7291	7155	7153
17	7011	7293	7158	7156
17.5	7014	7296	7161	7159
18	7017	7298	7163	7161
18.5	7019	7300	7166	7164
19	7022	7302	7169	7166
19.5	7025	7304	7171	7169
20	7028	7307	7174	7171
20.5	7031	7309	7176	7174
21	7032	7312	7179	7177
21.5	7037	7314	7181	7179
22	7041	7316	7184	7182
22.5	7043	7318	7186	7184
23	7047	7320	7189	7187
23.5	7050	7322	7192	7189
24	7053	7324	7194	7192
24.5	7054	7325	7196	7194
25	7057	7328	7199	7197
25.5	7059	7331	7202	7199
26	7062	7334	7204	7202
26.5	7065	7335	7207	7204
27	7069	7337	7209	7207
27.5	7073	7340	7211	7209
28	7075	7343	7214	7212
28.5	7079	7345	7216	7214
29	7081	7348	7219	7217
29.5	7085	7350	7221	7219
30	7088	7353	7224	7222
30.5	7090	7356	7226	7224
31	7093	7358	7229	7227
31.5	7097	7360	7231	7230
32	7101	7362	7234	7233
32.5	7105	7364	7237	7235
33	7108	7367	7240	7238
33.5	7111	7369	7242	7241
34	7115	7371	7245	7244
34.5	7118	7374	7248	7247
35	7121	7377	7251	7249
35.5	7124	7380	7254	7252
36	7127	7383	7257	7255
36.5	7130	7385	7259	7258
37	7133	7387	7262	7261
37.5	7135	7389	7265	7263
38	7139	7392	7267	7266
38.5	7142	7395	7270	7269
39	7146	7399	7273	7272
39.5	7148	7402	7275	7275
40	7151	7405	7278	7277
40.5	7154	7408	7281	7280
41	7156	7410	7284	7283
